"date";"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vx";"maxO3v"
"282";19950713;69.8;16.9;18.6;22.3;25.2;23.3;7;7;7;7;"7";-0.342;71.4
"283";19950714;59.6;16.9;19.9;23.2;19.1;20.6;5;7;6;8;"6";-6.0622;69.8
"284";19950715;79.2;17;19.9;22.6;24.3;22.8;8;7;5;5;"3";-4.924;59.6
"285";19950716;63.6;15.4;19;22.4;21.5;21.4;5;7;6;7;"7";-4.6985;79.2
"286";19950717;53.6;17.2;18;22.3;24.8;23.1;8;8;7;7;"7";-3.5;63.6
"287";19950718;69.6;15;21;24.9;27;26.9;6;5;6;5;"3";-3.9392;53.6
"288";19950719;104.2;18;20.2;27.2;30.6;30.3;8;7;3;3;"3";0;69.6
"289";19950720;123.4;19.2;27.6;33.1;34.9;34.1;0;1;1;3;"3";1.8794;104.2
"290";19950721;80.6;18.8;23.2;24.3;25.7;21.9;6;0;0;0;"1";-1.7101;123.4
"291";19950722;70.6;16.3;19.6;21.4;21.7;19.3;6;2;1;1;"0";2.7362;80.6
"292";19950723;105.6;11.3;20;23.4;25.8;24.2;0;0;0;0;"1";1.9696;70.6
"293";19950724;117.2;13.9;22.9;28.1;30.1;29.2;1;1;0;0;"0";3.9392;105.6
"294";19950725;128;18.4;26.1;31;32.6;31.7;1;4;3;5;"7";6.8937;117.2
"295";19950726;96.4;19.3;23.7;24.6;24.1;21.6;7;5;6;7;"6";-5.1423;128
"296";19950727;48;17.1;17.8;21.3;22.4;21;8;8;7;6;"7";-5.1962;96.4
"297";19950728;56.8;19.6;20.5;22.4;25.4;26.2;8;8;8;3;"1";-1.7321;48
"298";19950729;98.2;17;23.3;28;30.2;29.2;9;3;1;0;"2";2.5981;56.8
"299";19950730;114.6;15.9;25.9;30.7;31.1;29.9;1;1;3;3;"2";1.7321;98.2
"300";19950731;138.8;19.2;25.4;29.6;30.7;28.9;2;0;4;5;"4";1.0261;114.6
"301";19950801;140.8;17.9;25.6;32;32.2;32;5;2;1;3;"4";0.3473;138.8
"302";19950802;134.6;20.5;24;29.9;32.7;26.2;7;5;6;6;"3";0.766;140.8
"303";19950805;114.8;17.4;22.2;26.3;23.4;18.3;5;1;3;8;"8";-1.7321;173
"304";19950806;104.4;17.3;19.4;22.7;22.5;20.8;7;7;6;7;"7";-1.2856;114.8
"305";19950807;76.6;17.4;20;20.1;19.4;19.4;8;6;8;8;"8";3;104.4
"306";19950808;75;14.5;18.5;20.1;20.4;19.5;1;7;7;7;"7";5.1962;76.6
"307";19950809;115.8;16.5;21;24.2;25.4;25.3;8;3;2;7;"1";3.8302;75
"308";19950810;144;16.8;24.2;27.2;29.2;28.7;0;1;4;6;"2";5.1962;115.8
"309";19950811;144.4;17;25.1;30.6;32.4;30.1;0;0;1;2;"1";-0.9848;144
"310";19950812;108.2;17.2;18;20.5;25.7;24.2;8;8;7;1;"5";-1.7321;144.4
"311";19950813;72.4;18.1;19.8;23;23.4;21.1;7;3;3;1;"1";0;108.2
"312";19950814;88.6;14.6;19.4;22.3;22.3;21.1;1;3;4;7;"5";0;72.4
"313";19950815;112;12.2;20.3;24.4;25.9;23.9;1;1;2;2;"0";1.7101;88.6
"314";19950816;131.2;13.1;21.8;27.1;29;26.2;0;0;1;6;"3";3.8302;112
"315";19950817;131.6;14.7;24.8;28.6;29.4;28;3;3;1;3;"1";4.3301;131.2
"316";19950818;125.6;14.7;24.1;28;28.8;26.8;1;1;2;2;"3";5.6382;131.6
"317";19950819;155.8;15;22.8;29.6;30.3;27.9;0;0;2;2;"1";1.5321;125.6
"318";19950820;161.4;17.8;22.2;28.4;29.2;26.6;6;0;0;3;"7";1.0261;155.8
"319";19950821;125.4;16.3;23.9;28.2;28.2;25.9;0;0;1;3;"0";4.3301;161.4
"320";19950822;111.4;14.3;22.8;27.2;28.2;25.3;1;1;1;1;"1";2.5;125.4
"321";19950823;91.4;17.7;21;23;23.9;21.7;7;5;8;7;"7";-3;111.4
"322";19950824;68;14;19.9;23.2;24.4;22.7;5;5;5;4;"6";-1.2155;91.4
"323";19950825;73;19.1;20.5;23.8;26;24.1;8;7;7;4;"5";-3.9392;68
"324";19950826;86;14.9;19.7;22.8;24.4;21.3;1;5;2;1;"1";-3.8567;73
"325";19950827;73.8;17.4;20.6;23.2;22.8;18.3;6;6;7;7;"7";-2.0521;86
"326";19950828;65.4;13.2;16.1;20;19.6;17.1;6;6;4;4;"5";-1.2155;73.8
"327";19950829;65.4;9.6;17.7;21.3;20.7;19.8;1;3;5;7;"5";-2.0521;65.4
"328";19950830;81.2;16.7;18.4;19.1;21.6;20.4;7;5;6;2;"1";3.2139;65.4
"329";19950831;60.6;10.2;15.9;20.5;20.8;20.9;5;7;7;7;"4";1.0419;81.2
"330";19950901;58.8;15.9;18.7;19.4;20.8;18.7;7;7;7;5;"1";-0.6946;60.6
"331";19950902;68;13.1;16.1;21.4;22.1;18.4;8;7;7;7;"6";-2;58.8
"332";19950903;69.8;11.1;16.9;19.7;19;16.2;6;2;5;6;"1";-6.8937;68
"333";19950904;62.2;12;17;20.7;20.2;17.1;5;7;7;7;"7";-4;69.8
"334";19950905;66.2;12;16.2;19;21;18.4;7;3;4;5;"6";-2.8191;62.2
"335";19950906;64.8;13;17.7;17.5;18.1;18.3;7;7;8;8;"6";0;66.2
"336";19950907;67;17.5;17.1;18.9;16.7;16.8;7;8;7;8;"8";-6;64.8
"337";19950908;79.8;15.7;18;20.6;20.7;17.6;6;5;7;7;"4";-6.8937;67
"338";19950909;65.6;12.8;16.9;20.6;21;17.3;1;5;6;7;"8";-1.0419;79.8
"339";19950910;59;15.2;15.6;19;20.2;17.6;7;8;7;8;"8";1.9284;65.6
"340";19950911;78;11.5;16.6;19.8;16.5;17.7;0;2;5;7;"4";-3.4641;59
"341";19950912;56.2;11.3;16.5;18.4;15.2;16.2;3;5;4;4;"5";-3.7588;78
"342";19950913;70.6;10.2;14;17.8;20.1;18.6;5;7;6;5;"2";-1.8794;56.2
"343";19950914;45.6;13.8;14.3;13.6;16.1;15.8;8;8;8;7;"7";-3.8567;70.6
"344";19950915;48.2;13.6;15.6;17;15.1;14.8;8;6;7;7;"7";-4.924;45.6
"345";19950916;75.2;12.5;15.1;17.1;17.5;15.2;7;7;6;5;"7";-3.2139;48.2
"346";19950917;83.6;9.8;13.2;19.4;20.1;17.8;4;7;4;7;"7";2.8191;75.2
"347";19950918;75.2;14.3;16.2;19.8;18.4;16.6;7;7;6;7;"6";3.7588;83.6
"348";19950919;91.8;10.9;15.1;19.2;18.2;17.7;2;7;7;7;"8";3.5;75.2
"349";19950920;71.2;13.7;16.4;17.4;18.6;15.9;1;6;5;3;"2";0;91.8
"350";19950921;72.6;10.4;15.6;18.3;17.5;15.5;7;1;3;3;"1";0;71.2
"351";19950922;70.8;7.6;12.9;17;18.6;17;1;3;7;6;"4";1.7321;72.6
"352";19950923;53.2;10.8;12.2;18;17.9;17;9;9;7;7;"3";-0.5;70.8
"353";19950924;66.8;12.4;14.9;14.7;17.9;14;6;8;7;6;"3";-3.4641;53.2
"354";19950925;58;8.6;12.9;16.1;17.3;15.4;4;1;3;6;"7";-2;66.8
"355";19950926;49.2;11.4;14.6;16.2;16.8;16.3;7;7;7;7;"7";-3.8567;58
"356";19950927;60.4;16.5;17.6;15.9;17.2;14.7;8;8;8;5;"7";-4.4995;49.2
"357";19950928;49.6;6.7;11.6;15.8;15.2;13;4;2;7;6;"7";-5.1962;60.4
"358";19950929;45;7.6;11.1;15.3;15.9;13.9;6;7;7;7;"7";-1.5;49.6
"359";19950930;52.8;10.9;11.9;14.3;15.3;15.6;8;8;8;8;"8";0;45
"360";19960401;75.2;3.7;5.1;8.8;9.2;7.9;7;7;6;5;"6";6.5778;86.8
"361";19960402;75.4;0.2;5;6.3;7.6;6.1;0;1;5;3;"1";3.5;75.2
"362";19960403;81.6;-0.2;5.5;7.1;8.8;8.1;5;2;5;3;"3";3.2139;75.4
"363";19960404;95.8;-1.6;6.5;10.5;12.2;10.7;0;0;0;0;"0";4.924;81.6
"364";19960405;64;0.3;8;9.3;8.1;6.9;6;1;7;7;"8";5;95.8
"365";19960406;53;4.3;6.9;8.6;9.6;9.6;8;8;8;8;"8";-1.5321;64
"366";19960407;70.2;7.1;8.2;10.3;11.8;11.6;8;8;8;8;"8";-1;53
"367";19960408;83.4;7.3;8.9;12.4;13.2;12.6;8;8;8;8;"8";-1.7321;70.2
"368";19960409;87;4.9;10.2;15.2;16.6;15.4;7;7;6;3;"3";0.5209;83.4
"369";19960410;79.6;8.6;9.9;13.5;16.3;13.6;8;8;7;6;"7";-1.5;87
"370";19960411;81;8.2;10.6;14.3;16;15;7;7;7;6;"7";-0.866;79.6
"371";19960412;79.8;9.2;11.6;17.9;18.6;16.1;7;7;5;7;"8";-0.3473;81
"372";19960413;50;10.3;11.2;12.8;13.4;12;8;8;7;7;"5";-1.8794;79.8
"373";19960414;86.8;6.2;8;12.1;13.8;12.9;8;8;8;8;"8";-0.9848;50
"374";19960415;70;11.3;14.7;16.5;17;16.2;7;6;7;7;"7";0.6946;86.8
"375";19960416;105.8;7.4;13.3;18.6;17.4;15.4;7;7;6;8;"8";2.5;70
"376";19960417;81.4;7.9;11.7;15;16.3;12;4;6;6;6;"6";-5.9088;105.8
"377";19960418;68.2;8.1;12.5;15.2;14.2;13.5;9;6;6;7;"7";-3.5;81.4
"378";19960419;87;9.1;13.2;17.7;19.1;18.5;8;5;7;7;"7";-0.5209;68.2
"379";19960420;93.6;13.5;15.1;18.1;19.9;17.3;7;7;7;6;"6";-2.0521;87
"380";19960421;95.6;11.9;17.9;20.8;19.6;14.4;7;1;7;4;"8";-3.4202;93.6
"381";19960422;63.6;10.5;11.3;13.4;15;14.1;8;7;7;7;"8";2.5981;95.6
"382";19960423;68.6;9.6;11.6;12.7;11.7;12.7;8;7;7;7;"3";-5.9088;63.6
"383";19960424;81.6;6.7;12.7;14.3;13.3;11.4;2;6;6;7;"3";-3.0642;68.6
"384";19960425;84.4;4.5;10.9;12.8;14.8;13.5;3;3;7;2;"1";-1.0261;81.6
"385";19960426;85.6;3.7;9.4;15.5;16.8;15.2;9;1;3;3;"0";2.5712;84.4
"386";19960427;112.4;7;12;20.3;21.3;17.2;2;6;5;4;"7";4.6985;85.6
"387";19960428;100.2;9.1;15;18.7;17.5;14.5;7;5;5;5;"2";-1.2155;112.4
"388";19960429;89.6;6.8;12.2;15;15.7;12.9;1;1;4;5;"5";1.5;100.2
"389";19960430;74.6;5.6;11.1;15.1;14.8;13.4;6;3;5;6;"6";-2.8191;89.6
"390";19960501;81.8;8.3;10.6;10.3;12.8;9.4;7;7;7;7;"7";1.0419;74.6
"391";19960502;79;7.9;11.7;13;12.5;11.4;7;7;6;7;"7";1.2155;81.8
"392";19960503;65.8;8.1;8.9;9.3;10;8.9;8;8;7;8;"8";1.0419;79
"393";19960504;85;7.2;10.9;12.3;12.8;12.6;8;3;5;7;"5";3.9392;65.8
"394";19960505;105.6;4.2;11.1;14.6;16.3;15.1;5;1;3;3;"1";4.924;85
"395";19960506;79;8.9;7.5;7.9;10.1;10.3;8;8;8;8;"7";5.3623;105.6
"396";19960507;71.4;8;9.8;13.6;15.3;14.5;8;7;7;7;"7";3.8567;79
"397";19960508;74.8;9.8;9.2;10.4;9.8;10.4;8;8;8;8;"8";5.1423;71.4
"398";19960509;84.8;6.4;10.3;12.7;12.7;10.9;2;2;2;3;"3";4.5;74.8
"399";19960510;77;4.8;10;11.6;11.3;10.8;1;4;6;7;"3";2.5;84.8
"400";19960511;71.6;6;10.4;11.4;11.4;11;7;5;7;7;"6";2.5;77
"401";19960512;95.4;7.3;10.6;13.1;12.9;12;7;7;7;7;"2";1.7101;71.6
"402";19960513;95.2;3.2;11.6;14.4;15.2;13.4;0;2;6;7;"7";0.6428;95.4
"403";19960514;81.2;5.4;13.5;13.1;11.7;11.5;3;3;7;8;"7";3.5;95.2
"404";19960515;71;10.3;11.4;13.1;13.7;12.4;8;8;8;8;"8";2.5;81.2
"405";19960516;58.6;9.2;9.1;8.3;8.3;8.1;8;8;8;8;"8";4.3301;71
"406";19960517;43.2;7.7;8.8;10.1;12.4;10.7;8;8;8;7;"8";0;58.6
"407";19960518;72;10;11.7;16.5;16;16.4;9;7;7;6;"3";0.866;43.2
"408";19960519;86;6.5;8.4;12.9;14.2;12.6;3;7;6;5;"4";-5.3623;72
"409";19960520;82.8;8.7;12.5;13.8;16.3;14.6;7;7;6;3;"1";-0.6428;86
"410";19960521;88;8.7;13;14.1;16;14.9;4;5;6;6;"5";-5.6382;82.8
"411";19960522;67.2;10;14.2;13.4;12.7;12.6;8;8;8;8;"8";-3;88
"412";19960523;50;13.1;14.7;16.7;17.4;15.7;8;8;7;7;"7";-4.5963;67.2
"413";19960524;53.6;12.7;14.4;15.8;17.5;13.9;8;7;7;6;"8";-4;50
"414";19960525;62.8;12.3;11.7;13.5;14.2;13.6;8;8;8;8;"8";0;53.6
"415";19960526;64;12.2;13.3;13.8;14.5;14.5;8;8;8;8;"8";-3.8567;62.8
"416";19960527;71.4;12.1;13.6;15.6;16;14.8;7;7;7;7;"7";-6.1284;64
"417";19960528;68.4;10.7;13.5;16.7;18.1;18.2;7;8;7;5;"1";-1.0261;71.4
"418";19960529;90.6;11.3;15.2;20.7;22.6;23.1;8;2;2;2;"1";-1;68.4
"419";19960530;112.6;14.9;22.7;26.4;28.4;25.1;5;6;5;5;"7";1.2155;90.6
"420";19960531;60.2;13.9;15.5;17.6;18.6;17;7;7;8;8;"7";-1.7321;112.6
"421";19960601;86.8;10.5;13.4;17.1;17.7;15.6;3;7;5;6;"6";-3.7588;60.2
"422";19960602;81.2;10.9;13.6;15.5;15.6;15.3;7;7;7;7;"5";0;86.8
"423";19960603;90.2;7.7;14.6;18.7;21;19.5;0;1;2;1;"2";-2;81.2
"424";19960604;90;13.8;17.9;21.9;24;23.6;7;2;1;1;"1";1;90.2
"425";19960605;139;15.7;22.8;26.8;28.2;27.7;1;1;1;1;"2";2.2981;90
"426";19960606;139.6;18.5;26.2;30.8;31.8;30;3;4;4;1;"0";0.684;139
"427";19960607;130;19.3;27;30.6;31.6;26.1;0;0;0;1;"1";-0.8682;139.6
"428";19960608;94.6;13.3;12.6;12.6;12.8;14.1;7;8;8;8;"5";0;130
"429";19960609;86.8;9.9;16.9;21.4;23.2;23.1;2;4;3;2;"1";-1.5;94.6
"430";19960610;80;15.9;18.7;22.1;24;22.1;6;6;5;6;"7";0;86.8
"431";19960611;60;14.2;20.2;23.7;24.8;22.9;0;1;2;1;"0";-3.2139;80
"432";19960612;78.2;16;18.4;18.4;20.7;18.9;6;5;7;2;"0";1.3681;60
"433";19960613;121;12.5;19.7;22.6;24.3;23.5;0;1;0;0;"0";4.3301;78.2
"434";19960614;111.2;14;19.3;23.1;25.3;24.4;1;3;2;1;"1";5.1962;121
"435";19960615;129.4;15;21.4;25.3;27.3;26.6;3;5;5;4;"3";6.8937;111.2
"436";19960616;126.8;16.5;22.8;27.7;29.1;28;1;1;1;1;"1";6;129.4
"437";19960617;125;17;23;27.5;28.6;27.4;1;2;7;3;"3";0.766;126.8
"438";19960618;125.8;14.9;22.6;26.9;27.5;26.2;1;1;0;1;"1";-2.2981;125
"439";19960619;113.8;16.5;22;27.2;27.7;22.3;2;5;6;7;"8";-1.3681;125.8
"440";19960620;64.6;15.9;18.8;21.3;22;19.7;1;5;6;6;"6";-4.6985;113.8
"441";19960621;94.8;14.7;17.7;17.2;19.6;18.5;6;6;7;2;"1";2.3941;64.6
"442";19960622;98.2;10.5;16.1;18.7;19.1;17.3;0;3;3;5;"5";-3.2139;94.8
"443";19960623;113.2;10.5;16.6;19.4;20.9;18.5;0;2;4;4;"1";2.5;98.2
"444";19960624;96.4;10.7;18.1;20;20.9;19.1;1;3;6;5;"4";0;113.2
"445";19960625;95.6;11.4;18;21.6;22.6;21;7;6;5;5;"5";0.5209;96.4
"446";19960626;62.6;12.5;15.1;17.1;20;18.9;8;8;8;7;"8";-2.5981;95.6
"447";19960627;41.8;16.1;17.6;20.6;19.7;20;8;8;8;8;"7";-0.9397;62.6
"448";19960628;72.6;14.7;19.6;21.7;22.1;21.1;7;6;7;7;"7";-4.6985;41.8
"449";19960629;72;14.7;16.3;18.1;19.1;17.4;7;7;7;5;"1";-5.7851;72.6
"450";19960630;57.4;13;15.7;18.2;16.7;18.6;7;7;8;8;"7";-5.9088;72
"451";19960701;69.6;13.7;16.6;17.7;19.1;18.3;6;7;7;6;"6";-4.6985;57.4
"452";19960702;53.2;13.5;16.8;18;19.5;18.9;7;6;7;7;"7";-4.924;69.6
"453";19960703;38;14;17.9;18.9;17.6;16.8;8;7;8;8;"7";-3.8567;53.2
"454";19960704;65;14.2;17.2;21;21.1;18.6;5;6;6;5;"7";-6.5778;38
"455";19960705;49.4;12.8;14.3;18.1;15.2;14.1;8;7;7;7;"7";-2.5981;65
"456";19960706;58.2;10;15.1;18.5;13.4;16.3;2;6;7;8;"7";-4.6985;49.4
"457";19960707;73.6;10.6;15.1;17.6;17;16.7;7;7;6;5;"3";0;58.2
"458";19960708;62;12.1;16.8;19.6;20.6;18.7;3;7;6;4;"5";-2.0521;73.6
"459";19960709;56;11.1;17.7;19.2;18.6;17.5;1;5;7;8;"8";-4.924;62
"460";19960710;70.8;15.5;18;20.5;21.6;20.9;8;7;5;2;"1";-2.0521;56
"461";19960711;73;14.2;15.3;17.4;22.8;21.3;8;8;8;1;"1";-1.7321;70.8
"462";19960712;54.8;13;15.4;18.6;22.2;20.9;8;7;7;7;"6";1.0261;73
"463";19960713;33.6;17.3;19.1;21;22.1;22.8;7;7;7;7;"6";-1.5321;54.8
"464";19960714;57.2;17;18.6;23.1;26.2;24.1;8;7;3;1;"2";-0.3473;33.6
"465";19960715;96.4;17.7;19.5;24.4;26.8;27.3;8;7;6;6;"4";3.4641;57.2
"466";19960716;105.6;15.4;20.5;24.5;27;26.3;0;0;0;0;"1";6.5778;96.4
"467";19960717;114.4;15.3;22;25.9;28.6;28.2;1;0;0;0;"0";4.924;105.6
"468";19960718;119.8;15.2;22.7;27.2;29.3;28.4;1;2;2;0;"1";4.6985;114.4
"469";19960719;126.2;15.2;22.9;26.9;29.5;29;3;3;2;1;"1";3.9392;119.8
"470";19960720;151.4;14.1;24.2;29.2;31;30.3;1;3;1;1;"1";1.2856;126.2
"471";19960721;143.2;14.8;24.5;31.3;31.9;30.9;2;2;1;1;"0";1.9696;151.4
"472";19960722;134.4;18.2;27.1;32.2;33.8;33.6;0;0;1;1;"1";3.0642;143.2
"473";19960723;117.8;16.7;21;25.7;26.4;22.7;1;4;2;5;"6";-4.924;134.4
"474";19960724;69;16;19.6;22.1;22.7;20;7;6;5;3;"2";-1.7101;117.8
"475";19960725;103.6;12.5;20.7;24.6;26;23.7;1;1;5;3;"1";2.8191;69
"476";19960726;127.8;13.5;19.9;25.5;27.8;24.3;3;2;3;3;"2";3.8302;103.6
"477";19960727;67.2;16.3;18.8;22.4;23.5;22.2;7;7;6;7;"5";0.8682;127.8
"478";19960728;46.2;14.4;19.2;22.7;23.3;23.3;6;4;7;7;"6";-2.5981;67.2
"479";19960729;65.6;17.7;19.3;24.2;25.5;22;8;7;6;6;"7";-3.9392;46.2
"480";19960730;66.8;17.1;19.4;21;24.3;23.8;8;7;7;5;"4";-1.9696;65.6
"481";19960731;56.4;12.6;20.2;21;23.9;22.4;1;7;8;4;"7";-4.3301;66.8
"482";19960801;69.2;17;19.5;21.6;22.1;21.4;7;7;5;7;"5";-4.5963;56.4
"483";19960802;61.6;13.4;18;19.4;21.5;19.9;4;6;7;7;"1";-2.0521;69.2
"484";19960803;104.8;10.3;18.8;22.7;24.4;22.9;1;1;5;3;"0";2.5712;61.6
"485";19960804;131;14.5;23.2;26.4;27.7;26.9;0;0;0;2;"5";4.6985;104.8
"486";19960805;108.6;14.3;22.7;26.9;24.1;24.1;3;7;7;7;"7";-2.0521;131
"487";19960806;77.6;17.4;16.5;21.6;23;20.2;8;4;2;2;"1";-4.3301;108.6
"488";19960807;73.6;8.9;17.1;20.4;23;20.4;0;3;3;2;"1";-0.5209;77.6
"489";19960808;89.4;9.8;19;24.7;26.8;23.7;3;6;2;6;"7";-2.5;73.6
"490";19960809;48;16.9;17.8;18.7;20.7;20.7;8;8;8;7;"7";-0.8682;89.4
"491";19960810;63.6;16.8;18.9;20.8;21.4;19.5;8;7;7;6;"7";-3.8302;48
"492";19960811;63;14.5;17.8;19.8;21.1;18.6;6;7;6;6;"3";-4.5963;63.6
"493";19960812;77;13.2;18;20.2;22.6;20.7;1;5;6;4;"1";-0.8682;63
"494";19960813;106.8;14.8;16.9;22.3;24.2;22.3;8;7;4;3;"1";-1.0261;77
"495";19960814;106.6;12.4;19.3;23.6;25.2;23;0;0;4;1;"0";1.3681;106.8
"496";19960815;106.4;13.5;14.5;20.5;25.4;25.2;9;8;4;1;"1";1.7321;106.6
"497";19960816;118.6;13.2;21.8;27.2;28.7;28.4;0;0;2;3;"1";0.866;106.4
"498";19960817;134.2;13.5;22.3;29.5;30.6;29.3;0;1;2;1;"0";0.5209;118.6
"499";19960818;143;17;25.2;29.6;31.1;29.7;0;0;0;0;"0";2;134.2
"500";19960819;131.2;16.1;25;31.6;31.4;24.2;1;0;2;6;"7";2.5981;143
"501";19960820;93.6;17.5;18.9;22.2;24.8;20.5;7;7;7;7;"4";0;131.2
"502";19960821;64.8;13.9;16.4;21.7;24;20.9;7;6;6;5;"4";-2;93.6
"503";19960822;71.8;11.6;19.3;23.1;23.3;20.4;1;1;6;6;"7";-3.5;64.8
"504";19960823;60;18.1;17.9;21.4;22.1;19.5;7;3;5;4;"6";-6.0622;71.8
"505";19960824;67.2;14;17.6;21.7;20.3;17.4;7;7;7;6;"6";-6.8937;60
"506";19960825;79.2;13.4;17.7;20.2;22;19.9;2;4;4;5;"5";-3.9392;67.2
"507";19960826;61.2;10.1;16.9;20.3;20.8;17.4;1;2;4;6;"7";-2.5981;79.2
"508";19960827;60.4;11.2;15.8;18.3;18.8;16.7;3;5;6;6;"4";3.8567;61.2
"509";19960828;87.4;11.6;15.1;17.9;20;17.7;5;7;7;3;"1";-2;60.4
"510";19960829;75;12.6;16.1;18.9;19.2;17.3;4;7;7;6;"6";-2.0521;87.4
"511";19960830;64.8;11.7;15.9;18.3;18.6;17.7;5;7;6;7;"7";0;75
"512";19960831;74.4;11;17.2;20.5;19.3;16.2;3;4;5;5;"7";0;64.8
"513";19960901;87.8;8.4;15.5;19.7;21.7;19.4;7;5;5;5;"1";2.5981;74.4
"514";19960902;96;8.5;16.4;21.1;22.6;19.1;5;1;2;3;"1";2.5712;87.8
"515";19960903;102.8;8.7;17.2;20.7;22.2;21.5;3;2;4;1;"0";3.8302;96
"516";19960904;112.6;12.2;18.6;24.7;27.1;24.2;0;0;0;1;"0";5.6382;102.8
"517";19960905;99.6;12.8;16.7;22.3;24.8;21.8;4;0;0;0;"0";0.5209;112.6
"518";19960906;110.2;9.6;17.7;23.8;25.1;22.5;0;0;0;0;"0";1.7321;99.6
"519";19960907;103.8;9.2;17.5;21.8;22.9;21.5;0;0;0;0;"0";4.6985;110.2
"520";19960908;96.8;8.6;16.8;19;21;18.5;1;3;6;2;"0";7.8785;103.8
"521";19960909;78.8;12.9;16.2;19.1;21.1;18.6;6;4;2;3;"1";3;96.8
"522";19960910;57.2;13.1;15.1;17.3;18.8;16.3;7;8;8;6;"7";2.5;78.8
"523";19960911;74.4;11.8;15.8;18.7;17.4;16.6;4;7;7;8;"6";4.6985;57.2
"524";19960912;67;7;15.3;17.5;17.4;16.9;6;7;7;7;"6";1.2155;74.4
"525";19960913;66.8;7.4;14.7;16.9;17.5;15.1;2;2;1;1;"1";1.0419;67
"526";19960914;78.8;5.3;14;18.4;19.4;16.7;1;1;5;1;"1";3.2139;66.8
"527";19960915;89.6;5.9;14.5;20.7;22.9;20.8;1;0;1;0;"0";3.4641;78.8
"528";19960916;94.2;9.7;16.7;20.9;23.2;20.5;1;1;0;0;"0";5.1962;89.6
"529";19960917;100;9.8;16.1;21.6;23.9;20.9;2;1;2;2;"0";6;94.2
"530";19960918;90.4;10.3;14.5;17.9;20.2;18.8;4;1;6;7;"8";5;100
"531";19960919;45.6;10.3;12;14.3;13.8;12.1;2;5;8;7;"8";3.8567;90.4
"532";19960920;36.8;11.1;11.1;12.3;15.3;15;8;8;8;6;"4";0.5;45.6
"533";19960921;89.2;8.6;11;17.8;18;15.8;5;6;4;5;"2";4.6985;36.8
"534";19960922;72.2;12.3;14.1;14;15.2;13.7;8;7;7;7;"8";0;89.2
"535";19960923;66.4;9;12.3;18;18.5;16.3;7;7;7;7;"7";-1.5321;72.2
"536";19960924;83;5.4;12.1;19.3;19.3;17.5;6;5;5;8;"7";-0.684;66.4
"537";19960925;78.6;12.2;13.9;17.5;19.3;16.6;1;6;7;5;"1";-0.5209;83
"538";19960926;44.4;10.5;14.1;17;15.1;14.2;8;6;8;8;"8";-3.2139;78.6
"539";19960927;62.8;12.9;16.6;19.6;19.1;16.3;2;7;5;3;"1";-5.6382;44.4
"540";19960928;64;11.2;12;18.8;19.2;16.4;9;8;6;7;"4";-2.5981;62.8
"541";19960929;53.4;13.6;16.9;20.1;18.4;16.7;3;7;8;8;"8";-4.5963;64
"542";19960930;60;16.3;16.8;17.4;16.4;14.3;8;8;8;8;"8";-3;53.4
"543";19970409;99.4;5.1;13.8;20.7;23.1;21.1;5;5;5;5;"4";-0.3473;81.8
"544";19970410;115.8;5.2;14.1;21.6;24.2;20.3;1;0;0;0;"0";2.5981;99.4
"545";19970411;127.4;4.3;14.2;19.8;19.5;15.3;1;0;0;0;"0";1.7101;115.8
"546";19970412;91.6;4.1;8.5;12.3;13.5;12;3;5;2;1;"0";4.6985;127.4
"547";19970413;89;3.1;9;12.9;14.8;12.8;0;1;3;1;"0";5.1962;91.6
"548";19970414;90.8;3.5;12.1;16.3;18.1;14.5;0;0;0;0;"0";5;89
"549";19970415;96.8;7.8;11.2;16.5;17.2;14;0;0;0;0;"0";5.1962;90.8
"550";19970416;84;4.1;9.5;13.1;16.3;15.1;0;0;0;0;"0";5.1962;96.8
"551";19970417;89.8;6.2;10.7;14.2;15.7;12.9;0;1;2;2;"0";6.5778;84
"552";19970418;108.6;4.7;12.6;15.8;17.8;16.6;0;0;0;0;"0";6.8937;89.8
"553";19970419;90;5.3;10.7;12;13.1;10.6;0;1;7;7;"8";4.6985;108.6
"554";19970420;103.8;2.8;8;10.9;12.6;11.9;0;1;0;0;"0";8.4572;90
"555";19970421;97.8;1.7;9.4;11.8;13;10.3;0;0;0;0;"0";1.7101;103.8
"556";19970422;104.2;0;10;13.6;14.4;12.6;0;1;1;5;"6";0.9848;97.8
"557";19970423;96;1.7;11.1;15.2;16.4;15.2;1;2;3;4;"6";-2.5981;104.2
"558";19970424;82.6;3.8;14.6;17.9;18.9;16.5;0;1;6;5;"5";-1.7101;96
"559";19970425;62;8.8;12;12.6;13.8;14.9;8;7;8;8;"6";-2.5712;82.6
"560";19970426;65.8;10.8;11.8;16.1;16.8;14.5;7;8;6;7;"7";-6.0622;62
"561";19970427;64.4;10;11.8;15.1;17.4;15.9;7;7;7;4;"7";-3.8567;65.8
"562";19970428;61.4;13.7;15.9;17;16.5;15.5;7;8;8;8;"5";-6.9282;64.4
"563";19970429;70;11.2;13.7;15.8;16.7;14.8;7;7;7;6;"2";-3.5;61.4
"564";19970430;86.4;7.2;13.8;19.5;20.3;18.3;9;1;3;2;"3";3;70
"565";19970603;72.6;10.2;15.9;19.2;20.7;19.5;1;4;3;4;"1";-1.9284;76.2
